TimeStramp,ECG,SpO2,Respiration
16:26:33,-262.149,0,0
16:26:33,-196.612,0,0
16:26:33,-65.538,0,0
16:26:33,-131.075,0,0
16:26:33,-65.538,0,0
16:26:33,0,0,0
16:26:33,0,0,0
16:26:33,0,0,0
16:26:33,131.074,0,0
16:26:33,196.611,0,0
16:26:33,262.148,0,0
16:26:33,393.222,0,0
16:26:33,524.296,0,0
16:26:33,655.37,0,0
16:26:33,851.981,0,0
16:26:33,983.055,0,0
16:26:33,1114.129,0,0
16:26:33,1245.203,0,0
16:26:33,1245.203,0,0
16:26:33,1245.203,0,0
16:26:33,1245.203,0,0
16:26:33,1048.592,0,0
16:26:33,786.444,0,0
16:26:33,589.833,0,0
16:26:33,327.685,0,0
16:26:33,131.074,0,0
16:26:33,-0.001,0,0
16:26:33,-65.538,0,0
16:26:33,-196.612,0,0
16:26:33,-196.612,0,0
16:26:33,-131.075,0,0
16:26:33,-131.075,0,0
16:26:33,-196.612,0,0
16:26:33,-131.075,0,0
16:26:33,-131.075,0,0
16:26:33,-131.075,0,0
16:26:33,-65.538,0,0
16:26:33,-65.538,0,0
16:26:33,-131.075,0,0
16:26:33,-0.001,0,0
16:26:33,0,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,0,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,0,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,-0.001,0,0
16:26:33,0,0,0
16:26:33,0,0,0
16:26:33,-0.001,0,0
16:26:33,65.537,0,0
16:26:33,196.611,0,0
16:26:33,262.148,0,0
16:26:33,262.148,0,0
16:26:33,131.074,0,0
16:26:33,0,0,0
16:26:33,-0.001,0,0
16:26:33,-65.538,0,0
16:26:33,-196.612,0,0
16:26:33,-196.612,0,0
16:26:33,-196.612,0,0
16:26:33,-196.612,0,0
16:26:33,-131.075,0,0
16:26:33,-131.075,0,0
16:26:33,0,0,0
16:26:33,1114.129,0,0
16:26:33,2883.628,0,0
16:26:33,2818.091,0,0
16:26:33,196.611,0,0
16:26:33,-1769.5,0,0
16:26:33,-1310.741,0,0
16:26:33,-262.149,0,0
16:26:33,-262.149,0,0
16:26:33,-458.76,0,0
16:26:33,-262.149,0,0
16:26:33,-262.149,0,0
16:26:33,-327.686,0,0
16:26:33,-196.612,0,0
16:26:33,-131.075,0,0
16:26:33,-131.075,0,0
16:26:33,-0.001,0,0
16:26:33,0,0,0
16:26:33,0,0,0
16:26:33,131.074,0,0
16:26:33,196.611,0,0
16:26:33,262.148,0,0
16:26:34,393.222,0,0
16:26:34,524.296,0,0
16:26:34,589.833,0,0
16:26:34,786.444,0,0
16:26:34,983.055,0,0
16:26:34,1048.592,0,0
16:26:34,1179.666,0,0
16:26:34,1310.74,0,0
16:26:34,1310.74,0,0
16:26:34,1310.74,0,0
16:26:34,1245.203,0,0
16:26:34,983.055,0,0
16:26:34,720.907,0,0
16:26:34,589.833,0,0
16:26:34,327.685,0,0
16:26:34,65.537,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-131.075,0,0
16:26:34,-196.612,0,0
16:26:34,-131.075,0,0
16:26:34,-131.075,0,0
16:26:34,-65.538,0,0
16:26:34,-65.538,0,0
16:26:34,-65.538,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-65.538,0,0
16:26:34,0,0,0
16:26:34,0,0,0
16:26:34,-0.001,0,0
16:26:34,0,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,0,0,0
16:26:34,-65.538,0,0
16:26:34,-65.538,0,0
16:26:34,-0.001,0,0
16:26:34,-65.538,0,0
16:26:34,-65.538,0,0
16:26:34,-0.001,0,0
16:26:34,-65.538,0,0
16:26:34,-65.538,0,0
16:26:34,0,0,0
16:26:34,0,0,0
16:26:34,0,0,0
16:26:34,131.074,0,0
16:26:34,262.148,0,0
16:26:34,262.148,0,0
16:26:34,196.611,0,0
16:26:34,65.537,0,0
16:26:34,0,0,0
16:26:34,-0.001,0,0
16:26:34,-131.075,0,0
16:26:34,-196.612,0,0
16:26:34,-131.075,0,0
16:26:34,-131.075,0,0
16:26:34,-131.075,0,0
16:26:34,-65.538,0,0
16:26:34,-0.001,0,0
16:26:34,393.222,0,0
16:26:34,2031.647,0,0
16:26:34,3211.313,0,0
16:26:34,1572.888,0,0
16:26:34,-1179.667,0,0
16:26:34,-1835.037,0,0
16:26:34,-655.371,0,0
16:26:34,-65.538,0,0
16:26:34,-262.149,0,0
16:26:34,-196.612,0,0
16:26:34,-65.538,0,0
16:26:34,-131.075,0,0
16:26:34,-131.075,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,0,0,0
16:26:34,0,0,0
16:26:34,65.537,0,0
16:26:34,196.611,0,0
16:26:34,262.148,0,0
16:26:34,327.685,0,0
16:26:34,524.296,0,0
16:26:34,655.37,0,0
16:26:34,720.907,0,0
16:26:34,851.981,0,0
16:26:34,983.055,0,0
16:26:34,1114.129,0,0
16:26:34,1310.74,0,0
16:26:34,1310.74,0,0
16:26:34,1310.74,0,0
16:26:34,1310.74,0,0
16:26:34,1179.666,0,0
16:26:34,917.518,0,0
16:26:34,655.37,0,0
16:26:34,393.222,0,0
16:26:34,196.611,0,0
16:26:34,65.537,0,0
16:26:34,-0.001,0,0
16:26:34,-65.538,0,0
16:26:34,-65.538,0,0
16:26:34,-131.075,0,0
16:26:34,-131.075,0,0
16:26:34,-65.538,0,0
16:26:34,-131.075,0,0
16:26:34,-131.075,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,0,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,0,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-65.538,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-0.001,0,0
16:26:34,-65.538,0,0
16:26:34,-0.001,0,0
16:26:34,0,0,0
16:26:34,-0.001,0,0
16:26:35,-0.001,0,0
16:26:35,0,0,0
16:26:35,-0.001,0,0
16:26:35,0,0,0
16:26:35,131.074,0,0
16:26:35,196.611,0,0
16:26:35,196.611,0,0
16:26:35,65.537,0,0
16:26:35,-0.001,0,0
16:26:35,-65.538,0,0
16:26:35,-65.538,0,0
16:26:35,-196.612,0,0
16:26:35,-262.149,0,0
16:26:35,-196.612,0,0
16:26:35,-262.149,0,0
16:26:35,-262.149,0,0
16:26:35,-196.612,0,0
16:26:35,-65.538,0,0
16:26:35,786.444,0,0
16:26:35,2490.406,0,0
16:26:35,2752.554,0,0
16:26:35,327.685,0,0
16:26:35,-1966.111,0,0
16:26:35,-1769.5,0,0
16:26:35,-524.297,0,0
16:26:35,-262.149,0,0
16:26:35,-393.223,0,0
16:26:35,-262.149,0,0
16:26:35,-196.612,0,0
16:26:35,-262.149,0,0
16:26:35,-131.075,0,0
16:26:35,-65.538,0,0
16:26:35,-65.538,0,0
16:26:35,-0.001,0,0
16:26:35,0,0,0
16:26:35,0,0,0
16:26:35,65.537,0,0
16:26:35,196.611,0,0
16:26:35,196.611,0,0
16:26:35,327.685,0,0
16:26:35,458.759,0,0
16:26:35,524.296,0,0
16:26:35,655.37,0,0
16:26:35,851.981,0,0
16:26:35,917.518,0,0
16:26:35,983.055,0,0
16:26:35,1114.129,0,0
16:26:35,1114.129,0,0
